2	december	december	80	88
2	december 1999	december 1999	80	93
2	friday	friday	70	76
2	friday 17 december 1999	friday 17 december 1999	70	93
3	materialise	materialise	72	83
4	part-session	part-session	92	104
9	sri lanka	sri lanka	113	122
10	mr kumar ponnambalam	mr kumar ponnambalam	62	82
10	sri lanka	sri lanka	48	57
11	sri lanka	sri lanka	166	175
12	mr evans	mr evans	5	13
13	mr evans	mr evans	35	43
15	143	143	36	39
16	thursday	thursday	54	62
17	6	6	125	126
17	multiannual	multiannual	20	31
17	thursday	thursday	79	87
20	thursday	thursday	173	181
21	thursday	thursday	83	91
22	america	america	159	166
22	mr hicks	mr hicks	264	272
22	part-session	part-session	52	64
22	texas	texas	150	155
22	thursday	thursday	137	145
23	mr bush	mr bush	439	446
23	mr zimeray	mr zimeray	35	45
23	texas	texas	432	437
25	mr segni	mr segni	11	19
28	alexander nikitin	alexander nikitin	18	35
29	russia	russia	88	94
31	alexander nikitin	alexander nikitin	205	222
31	part-session	part-session	116	128
31	plenary part-session	plenary part-session	108	128
32	russia	russia	285	291
33	mrs	mrs	5	8
33	mrs schroedter	mrs schroedter	5	19
33	schroedter	schroedter	9	19
34	part-session	part-session	125	137
36	portuguese	portuguese	52	62
38	agenda	agenda	65	71
38	mrs	mrs	0	3
38	mrs plooij-van gorsel	mrs plooij-van gorsel	0	21
38	plooij-van gorsel	plooij-van gorsel	4	21
38	quaestors	quaestors	80	89
38	wednesday	wednesday	102	111
42	1998	1998	64	68
43	brussels	brussels	48	56
43	strasbourg	strasbourg	85	95
48	lynne	lynne	4	9
48	mrs	mrs	0	3
48	mrs lynne	mrs lynne	0	9
49	quaestors	quaestors	48	57
50	de palacio	de palacio	109	119
50	díez gonzález	díez gonzález	21	34
50	mrs	mrs	17	20
50	mrs de palacio	mrs de palacio	105	119
50	mrs díez gonzález	mrs díez gonzález	17	34
50	palacio	palacio	112	119
51	agenda	agenda	53	59
51	part-session	part-session	117	129
53	18	18	164	166
53	18 november	18 november	164	175
53	de palacio	de palacio	50	60
53	mrs	mrs	46	49
53	mrs de palacio	mrs de palacio	46	60
53	november	november	167	175
53	palacio	palacio	53	60
54	mr berenguer	mr berenguer	0	12
54	mr berenguer fuster	mr berenguer fuster	0	19
57	indonesia	indonesia	189	198
60	eu	eu	23	25
64	eu	eu	14	16
65	thursday	thursday	106	114
66	agenda	agenda	0	6
67	110	110	165	168
67	13	13	137	139
67	13 january	13 january	137	147
67	agenda	agenda	68	74
67	january	january	140	147
68	monday	monday	45	51
68	tuesday	tuesday	56	63
69	wednesday	wednesday	12	21
71	mr barón crespo	mr barón crespo	13	28
73	prodi	prodi	41	46
73	september	september	247	256
75	july	july	198	202
75	prodi	prodi	115	120
75	september	september	217	226
77	15	15	61	63
